0XY0,XY8
0XZ0,XZ6
0Y00,Y05
0Y10,Y13
0Y20,Y21
0Y30,Y39
0Y40,Y47
0Y50,Y55
0Y60,Y63
0Y70,Y71
0Y80,Y89
0Y90,Y97
0YA0,YA5
0YB0,YB3
0YC0,YC1
0YD0,YD9
0YE0,YE7
0YF0,YF5
0YG0,YG3
0YH0,YH1
0YI0,YI9
0YJ0,YJ7
0YK0,YK5
0YL0,YL3
0YM0,YM1
0YN0,YN9
0YO0,YO5
0YP0,YP3
0YQ0,YQ1
0YR0,YR9
0YS0,YS7
0YT0,YT5
0YU0,YU3
0YV0,YV1
0YW0,YW9
0YX0,YX7
0YY0,YY5
0YZ0,YZ3
0Z00,Z02
0Z10,Z10
0Z20,Z28
0Z30,Z36
0Z40,Z44
0Z50,Z52
0Z60,Z60
0Z70,Z78
0Z80,Z86
0Z90,Z94
0ZA0,ZA2
0ZB0,ZB0
0ZC0,ZC8
0ZD0,ZD6
0ZE0,ZE4
0ZF0,ZF2
0ZG0,ZG0
0ZH0,ZH8
0ZI0,ZI6
0ZJ0,ZJ4
0ZK0,ZK2
0ZL0,ZL0
0ZM0,ZM8
0ZN0,ZN6
0ZO0,ZO2
0ZP0,ZP0
0ZQ0,ZQ8
0ZR0,ZR6
0ZS0,ZS4
0ZT0,ZT2
0ZU0,ZU0
0ZV0,ZV8
0ZW0,ZW6
0ZX0,ZX4
0ZY0,ZY2
0ZZ0,ZZ0
1A00,A09
1A10,A17
1A20,A25
1A30,A33
1A40,A41
1A50,A59
1A60,A67
1A70,A75
1A80,A83
1A90,A91
1AA0,AA9
1AB0,AB7
1AC0,AC5
1AD0,AD3
1AE0,AE1
1AF0,AF9
1AG0,AG7
1AH0,AH5
1AI0,AI3
1AJ0,AJ1
1AK0,AK9
1AL0,AL7
1AM0,AM5
1AN0,AN3
1AO0,AO9
1AP0,AP7
1AQ0,AQ5
1AR0,AR3
1AS0,AS1
1AT0,AT9
1AU0,AU7
1AV0,AV5
1AW0,AW3
1AX0,AX1
1AY0,AY9
1AZ0,AZ7
1B00,B06
1B10,B14
1B20,B22
1B30,B30
1B40,B48
1B50,B56
1B60,B64
1B70,B72
1B80,B80
1B90,B98
1BA0,BA6
1BB0,BB4
1BC0,BC2
1BD0,BD0
1BE0,BE8
1BF0,BF6
1BG0,BG4
1BH0,BH2
1BI0,BI0
1BJ0,BJ8
1BK0,BK6
1BL0,BL4
1BM0,BM2
1BN0,BN0
1BO0,BO6
1BP0,BP4
1BQ0,BQ2
1BR0,BR0
1BS0,BS8
1BT0,BT6
1BU0,BU4
1BV0,BV2
1BW0,BW0
1BX0,BX8
1BY0,BY6
1BZ0,BZ4
1C00,C03
1C10,C11
1C20,C29
1C30,C37
1C40,C45
1C50,C53
1C60,C61
1C70,C79
1C80,C87
1C90,C95
1CA0,CA3
1CB0,CB1
1CC0,CC9
1CD0,CD7
1CE0,CE5
1CF0,CF3
1CG0,CG1
1CH0,CH9
1CI0,CI7
1CJ0,CJ5
1CK0,CK3
1CL0,CL1
1CM0,CM9
1CN0,CN7
1CO0,CO3
1CP0,CP1
1CQ0,CQ9
1CR0,CR7
1CS0,CS5
1CT0,CT3
1CU0,CU1
1CV0,CV9
1CW0,CW7
1CX0,CX5
1CY0,CY3
1CZ0,CZ1
1D00,D00
1D10,D18
1D20,D26
1D30,D34
1D40,D42
1D50,D50
1D60,D68
1D70,D76
1D80,D84
1D90,D92
1DA0,DA0
1DB0,DB8
1DC0,DC6
1DD0,DD4
1DE0,DE2
1DF0,DF0
1DG0,DG8
1DH0,DH6
1DI0,DI4
1DJ0,DJ2
1DK0,DK0
1DL0,DL8
1DM0,DM6
1DN0,DN4
1DO0,DO0
1DP0,DP8
1DQ0,DQ6
1DR0,DR4
1DS0,DS2
1DT0,DT0
1DU0,DU8
1DV0,DV6
1DW0,DW4
1DX0,DX2
1DY0,DY0
1DZ0,DZ8
1E00,E07
1E10,E15
1E20,E23
1E30,E31
1E40,E49
1E50,E57
1E60,E65
1E70,E73
1E80,E81
1E90,E99
1EA0,EA7
1EB0,EB5
1EC0,EC3
1ED0,ED1
1EE0,EE9
1EF0,EF7
1EG0,EG5
1EH0,EH3
1EI0,EI1
1EJ0,EJ9
1EK0,EK7
1EL0,EL5
1EM0,EM3
1EN0,EN1
1EO0,EO7
1EP0,EP5
1EQ0,EQ3
1ER0,ER1
1ES0,ES9
1ET0,ET7
1EU0,EU5
1EV0,EV3
1EW0,EW1
1EX0,EX9
1EY0,EY7
1EZ0,EZ5
1F00,F04
1F10,F12
1F20,F20
1F30,F38
1F40,F46
1F50,F54
1F60,F62
1F70,F70
1F80,F88
1F90,F96
1FA0,FA4
1FB0,FB2
1FC0,FC0
1FD0,FD8
1FE0,FE6
1FF0,FF4
1FG0,FG2
1FH0,FH0
1FI0,FI8
1FJ0,FJ6
1FK0,FK4
1FL0,FL2
1FM0,FM0
1FN0,FN8
1FO0,FO4
1FP0,FP2
1FQ0,FQ0
1FR0,FR8
1FS0,FS6
1FT0,FT4
1FU0,FU2
1FV0,FV0
1FW0,FW8
1FX0,FX6
1FY0,FY4
1FZ0,FZ2
1G00,G01
1G10,G19
1G20,G27
1G30,G35
1G40,G43
1G50,G51
1G60,G69
1G70,G77
1G80,G85
1G90,G93
1GA0,GA1
1GB0,GB9
1GC0,GC7
1GD0,GD5
1GE0,GE3
1GF0,GF1
1GG0,GG9
1GH0,GH7
1GI0,GI5
1GJ0,GJ3
1GK0,GK1
1GL0,GL9
1GM0,GM7
1GN0,GN5
1GO0,GO1
1GP0,GP9
1GQ0,GQ7
1GR0,GR5
1GS0,GS3
1GT0,GT1
1GU0,GU9
1GV0,GV7
1GW0,GW5
1GX0,GX3
1GY0,GY1
1GZ0,GZ9
1H00,H08
1H10,H16
1H20,H24
1H30,H32
1H40,H40
1H50,H58
1H60,H66
1H70,H74
1H80,H82
1H90,H90
1HA0,HA8
1HB0,HB6
1HC0,HC4
1HD0,HD2
1HE0,HE0
1HF0,HF8
1HG0,HG6
1HH0,HH4
1HI0,HI2
1HJ0,HJ0
1HK0,HK8
1HL0,HL6
1HM0,HM4
1HN0,HN2
1HO0,HO8
