12101	Punta Arenas	Magallanes	Magallanes y Antártica Chilena	125483
12102	Laguna Blanca	Magallanes	Magallanes y Antártica Chilena	631
12103	Río Verde	Magallanes	Magallanes y Antártica Chilena	363
12104	San Gregorio	Magallanes	Magallanes y Antártica Chilena	731
12201	Cabo de Hornos	Antártica Chilena	Magallanes y Antártica Chilena	1677
12202	Antártica	Antártica Chilena	Magallanes y Antártica Chilena	127
12301	Porvenir	Tierra del Fuego	Magallanes y Antártica Chilena	5650
12302	Primavera	Tierra del Fuego	Magallanes y Antártica Chilena	803
12303	Timaukel	Tierra del Fuego	Magallanes y Antártica Chilena	873
12401	Natales	Última Esperanza	Magallanes y Antártica Chilena	21327
12402	Torres del Paine	Última Esperanza	Magallanes y Antártica Chilena	1163
13101	Santiago	Santiago	Metropolitana de Santiago	404495
13102	Cerrillos	Santiago	Metropolitana de Santiago	79195
13103	Cerro Navia	Santiago	Metropolitana de Santiago	128090
13104	Conchalí	Santiago	Metropolitana de Santiago	121118
13105	El Bosque	Santiago	Metropolitana de Santiago	162671
13106	Estación Central	Santiago	Metropolitana de Santiago	119292
13107	Huechuraba	Santiago	Metropolitana de Santiago	87667
13108	Independencia	Santiago	Metropolitana de Santiago	73874
13109	La Cisterna	Santiago	Metropolitana de Santiago	80910
13110	La Florida	Santiago	Metropolitana de Santiago	397497
13111	La Granja	Santiago	Metropolitana de Santiago	121214
13112	La Pintana	Santiago	Metropolitana de Santiago	202146
13113	La Reina	Santiago	Metropolitana de Santiago	91927
13114	Las Condes	Santiago	Metropolitana de Santiago	289949
13115	Lo Barnechea	Santiago	Metropolitana de Santiago	97230
13116	Lo Espejo	Santiago	Metropolitana de Santiago	99527
13117	Lo Prado	Santiago	Metropolitana de Santiago	94766
13118	Macul	Santiago	Metropolitana de Santiago	111436
13119	Maipú	Santiago	Metropolitana de Santiago	805000
13120	Ñuñoa	Santiago	Metropolitana de Santiago	195410
13121	Pedro Aguirre Cerda	Santiago	Metropolitana de Santiago	104018
13122	Peñalolén	Santiago	Metropolitana de Santiago	249621
13123	Providencia	Santiago	Metropolitana de Santiago	126487
13124	Pudahuel	Santiago	Metropolitana de Santiago	225509
13125	Quilicura	Santiago	Metropolitana de Santiago	203946
13126	Quinta Normal	Santiago	Metropolitana de Santiago	101737
13127	Recoleta	Santiago	Metropolitana de Santiago	152985
13128	Renca	Santiago	Metropolitana de Santiago	142136
13129	San Joaquín	Santiago	Metropolitana de Santiago	94255
13130	San Miguel	Santiago	Metropolitana de Santiago	90846
13131	San Ramón	Santiago	Metropolitana de Santiago	85195
13132	Vitacura	Santiago	Metropolitana de Santiago	84195
13201	Puente Alto	Cordillera	Metropolitana de Santiago	757721
13202	Pirque	Cordillera	Metropolitana de Santiago	20732
13203	San José de Maipo	Cordillera	Metropolitana de Santiago	14455
13301	Colina	Chacabuco	Metropolitana de Santiago	113340
13302	Lampa	Chacabuco	Metropolitana de Santiago	79421
13303	Til Til	Chacabuco	Metropolitana de Santiago	16405
13401	San Bernardo	Maipo	Metropolitana de Santiago	277802
13402	Buin	Maipo	Metropolitana de Santiago	74232
13403	Calera de Tango	Maipo	Metropolitana de Santiago	27781
13404	Paine	Maipo	Metropolitana de Santiago	0
13501	Melipilla	Melipilla	Metropolitana de Santiago	107698
13502	Alhué	Melipilla	Metropolitana de Santiago	4646
13503	Curacaví	Melipilla	Metropolitana de Santiago	28439
13504	María Pinto	Melipilla	Metropolitana de Santiago	12501
13505	San Pedro	Melipilla	Metropolitana de Santiago	8062
13601	Talagante	Talagante	Metropolitana de Santiago	78887
13602	El Monte	Talagante	Metropolitana de Santiago	32468
13603	Isla de Maipo	Talagante	Metropolitana de Santiago	33723
13604	Padre Hurtado	Talagante	Metropolitana de Santiago	50696
13605	Peñaflor	Talagante	Metropolitana de Santiago	87741
